source,target,weight
dbeatrizmb,templario_gt,1
luisficarpediem,traficogt,7
sor_monroy,piero_coen,1
sor_monroy,fjimenezmingob,1
sor_monroy,traficogt,1
sor_monroy,mingobguate,1
sor_monroy,pncdeguatemala,1
sor_monroy,diariodeca,1
sor_monroy,agn_noticias,1
sor_monroy,radio_tgw,1
sor_monroy,guatemalagob,1
mmiaumersons,erwin_fern84019,1
mmiaumersons,piero_coen,1
mmiaumersons,fjimenezmingob,1
mmiaumersons,traficogt,1
mmiaumersons,mingobguate,1
mmiaumersons,pncdeguatemala,1
mmiaumersons,diariodeca,1
mmiaumersons,agn_noticias,1
mmiaumersons,radio_tgw,1
mmiaumersons,guatemalagob,1
rivera_bambu,fjimenezmingob,1
rivera_bambu,traficogt,2
rivera_bambu,mingobguate,1
rivera_bambu,pncdeguatemala,1
rivera_bambu,diariodeca,1
rivera_bambu,agn_noticias,1
rivera_bambu,radio_tgw,1
rivera_bambu,guatemalagob,1
rivera_bambu,gberganza2023,1
contreras_tani,amilcarmontejo,1
contreras_tani,traficogt,2
contreras_tani,odhag_gt,1
express_foto,traficogt,4
express_foto,amilcarmontejo,2
express_foto,soy_502,1
express_foto,prensa_libre,1
quorumgt,jeanellydvg,9
quorumgt,davidck7,1
quorumgt,pialaperiodista,1
mmendoza_gt,usembassyguate,1
mmendoza_gt,ueguatemala,1
mmendoza_gt,zuryxguate,1
mmendoza_gt,sandra_jovelp,1
mmendoza_gt,drgiammattei,1
nilrilesor,cubreserva,6
nilrilesor,hfmarisol,3
nilrilesor,pattyo502,10
nilrilesor,pialaperiodista,3
nilrilesor,inabguatemala,6
nilrilesor,marnguate,7
nilrilesor,conapgt,5
nilrilesor,isapaiz_,3
nilrilesor,pedgar05,3
nilrilesor,samuel_pz,3
nilrilesor,soy_502,3
nilrilesor,emisorasunidas,6
nilrilesor,hshetemul,3
nilrilesor,traficogt,6
nilrilesor,publinewsgt,4
nilrilesor,ricigt1,3
nilrilesor,guatevision_tv,6
nilrilesor,lfernandab,1
nilrilesor,magaguatemala,3
nilrilesor,muniguate,1
nilrilesor,alvasol_,2
nilrilesor,josechic86,1
nilrilesor,aldodavila_gt,1
nilrilesor,autoridadesgt,1
nilrilesor,avillagran502,2
nilrilesor,santi_barrera__,1
nilrilesor,fiaheisenberg,1
nilrilesor,alex56gt,1
nilrilesor,alterlego502,1
nilrilesor,alex_balsells,1
nilrilesor,anongtreloaded,1
alex_balsells,ojguatemala,1
alex_balsells,cc_guatemala,1
jlfont001,sandra_jovelp,1
jlfont001,vientomares,1
jlfont001,concriteriogt,3
jlfont001,barevalodeleon,1
jlfont001,miquelosj,1
jlfont001,ufmedu,1
jlfont001,msemillagt,1
jlfont001,samuel_pz,1
jlfont001,cc_guatemala,2
jlfont001,drgiammattei,2
jlfont001,alvaroarzue,1
jlfont001,rodolfoneutze,1
plazapublicagt,ferdymontepeque,2
plazapublicagt,drgiammattei,2
elmerlandazuri7,traficogt,1
molinerosed,noti_atlantico,1
molinerosed,muniguate,1
molinerosed,bomberosmuni,1
molinerosed,bvoluntariosgt,1
molinerosed,telediariogt,1
molinerosed,t13noticias,1
molinerosed,traficogt,2
molinerosed,ronald_mackay,1
molinerosed,susanamorazan,1
molinerosed,coronavirusgt,1
molinerosed,rutaal,1
jul_sando_1962,traficogt,2
jul_sando_1962,tamarar77259349,1
sonny_figueroa,muniguate,2
sonny_figueroa,rquinonezl,1
sonny_figueroa,bancoindustrial,1
eeliezer1985,amilcarmontejo,3
eeliezer1985,muniguate,2
eeliezer1985,traficogt,3
eeliezer1985,dtransitopnc,3
eeliezer1985,pncdeguatemala,1
eeliezer1985,bvoluntariosgt,1
eeliezer1985,bomberosmuni,1
mpguatemala,cc_guatemala,1
gigantedecolch,scpmuni,1
gigantedecolch,soy_502,2
gigantedecolch,traficogt,3
gigantedecolch,barevalodeleon,1
gigantedecolch,covial_civ,1
gigantedecolch,dtransitopnc,1
gigantedecolch,muniguate,1
arthurshp_wf,traficogt,27
arthurshp_wf,barevalodeleon,2
arthurshp_wf,miguelitogtsoy,1
arthurshp_wf,cacifguatemala,1
arthurshp_wf,camagroguate,1
arthurshp_wf,gobiernoguate,1
arthurshp_wf,purorojoybarca,1
arthurshp_wf,carcamito10,1
arthurshp_wf,gersintos,1
arthurshp_wf,hexesalem,1
arthurshp_wf,luismfernandezv,1
carlosrkestler,jpablo998af,1
carlosrkestler,traficogt,1
carlosrkestler,plazapublicagt,1
carlosrkestler,barevalodeleon,2
carlosrkestler,civ_guatemala,1
carlosrkestler,cnnee,1
carlosrkestler,drgiammattei,1
carlosrkestler,mpguatemala,1
jpablo998af,carlosrkestler,1
jpablo998af,traficogt,3
jpablo998af,plazapublicagt,1
jpablo998af,lahoragt,1
jpablo998af,guss_marro,1
vir129,amilcarmontejo,1
vir129,muniguate,1
vir129,traficogt,1
bayronortega68,traficogt,2
cbastiancruz,traficogt,4
cbastiancruz,fiscalnvicto,2
cbastiancruz,rmendezruiz,1
cbastiancruz,frattigiovanni,1
cbastiancruz,raulfalla31,1
mlopezguate,lahoragt,1
mlopezguate,traficogt,3
